Song,Date,Number of Plays
last,2022-09-21,1806
second,2022-09-24,1463
forth,2022-09-19,1299
second,2022-09-25,262
last,2022-09-18,425
forth,2022-09-25,163
third,2022-09-26,1129
second,2022-09-22,610
forth,2022-09-23,1972
third,2022-09-23,1782
second,2022-09-23,1049
second,2022-09-18,1249
first,2022-09-22,1683
last,2022-09-24,1496
forth,2022-09-21,678
last,2022-09-20,505
second,2022-09-26,1357
forth,2022-09-21,1
third,2022-09-26,1448
third,2022-09-19,1373
first,2022-09-27,1185
forth,2022-09-25,1073
last,2022-09-26,547
second,2022-09-21,1959
third,2022-09-24,1791
last,2022-09-27,1087
second,2022-09-20,298
forth,2022-09-23,1880
first,2022-09-22,1127
last,2022-09-23,692
second,2022-09-19,1044
second,2022-09-22,765
first,2022-09-19,1324
last,2022-09-19,887
forth,2022-09-24,1207
third,2022-09-23,728
last,2022-09-18,1884
forth,2022-09-23,356
second,2022-09-23,1564
forth,2022-09-24,1775
second,2022-09-21,651
forth,2022-09-23,835
first,2022-09-19,1944
second,2022-09-26,1246
third,2022-09-20,1498
last,2022-09-19,117
first,2022-09-25,652
second,2022-09-21,1804
second,2022-09-24,1543
second,2022-09-18,167
first,2022-09-18,1236
first,2022-09-18,478
third,2022-09-26,958
third,2022-09-25,1285
first,2022-09-19,1494
third,2022-09-24,1040
second,2022-09-24,153
forth,2022-09-19,809
first,2022-09-18,917
first,2022-09-20,1478
forth,2022-09-24,943
first,2022-09-19,526
third,2022-09-20,8
last,2022-09-21,1872
second,2022-09-18,1559
third,2022-09-25,1192
third,2022-09-19,34
third,2022-09-25,1758
third,2022-09-19,1726
last,2022-09-27,531
first,2022-09-26,368
third,2022-09-27,1219
first,2022-09-24,1555
third,2022-09-19,1873
second,2022-09-23,1444
last,2022-09-20,1655
last,2022-09-26,1245
first,2022-09-26,1988
third,2022-09-23,632
second,2022-09-23,697
third,2022-09-20,448
third,2022-09-24,1950
first,2022-09-21,1636
forth,2022-09-19,531
forth,2022-09-20,1339
last,2022-09-26,1954
forth,2022-09-18,429
second,2022-09-27,306
third,2022-09-26,1104
first,2022-09-18,1332
second,2022-09-22,1254
third,2022-09-19,975
last,2022-09-19,984
forth,2022-09-24,678
second,2022-09-19,881
forth,2022-09-20,1481
forth,2022-09-23,1888
third,2022-09-24,1112
forth,2022-09-21,363
first,2022-09-25,892
first,2022-09-20,1919
first,2022-09-24,748
last,2022-09-24,199
last,2022-09-21,1924
first,2022-09-24,1238
first,2022-09-18,746
first,2022-09-22,1994
last,2022-09-25,1161
second,2022-09-21,1680
third,2022-09-25,486
second,2022-09-27,1002
first,2022-09-19,1993
last,2022-09-24,802
last,2022-09-20,472
third,2022-09-19,1931
first,2022-09-24,1713
first,2022-09-19,950
forth,2022-09-18,216
forth,2022-09-23,633
third,2022-09-21,759
second,2022-09-22,446
third,2022-09-27,47
first,2022-09-24,841
last,2022-09-19,1310
second,2022-09-20,921
third,2022-09-20,115
first,2022-09-21,794
third,2022-09-24,561
third,2022-09-26,119
second,2022-09-19,1977
last,2022-09-25,1051
first,2022-09-26,1212
forth,2022-09-26,1636
second,2022-09-18,640
last,2022-09-18,150
second,2022-09-18,1098
second,2022-09-25,1145
first,2022-09-20,1242
forth,2022-09-24,1958
forth,2022-09-26,311
second,2022-09-20,386
third,2022-09-23,1635
last,2022-09-27,1174
first,2022-09-22,411
third,2022-09-21,1105
last,2022-09-23,1600
second,2022-09-27,724
forth,2022-09-26,1174
first,2022-09-19,1475
forth,2022-09-26,153
forth,2022-09-27,1493
second,2022-09-26,1067
forth,2022-09-21,1207
second,2022-09-24,246
forth,2022-09-22,860
third,2022-09-27,41
first,2022-09-27,336
third,2022-09-20,45
third,2022-09-25,1738
forth,2022-09-18,1611
second,2022-09-22,0
second,2022-09-27,1968
first,2022-09-26,49
third,2022-09-25,1401
third,2022-09-26,1519
first,2022-09-25,666
forth,2022-09-21,1580
third,2022-09-21,423
second,2022-09-23,1910
first,2022-09-21,553
forth,2022-09-20,576
second,2022-09-23,1256
last,2022-09-18,533
third,2022-09-26,1588
last,2022-09-25,1650
second,2022-09-19,143
first,2022-09-20,5
last,2022-09-21,229
last,2022-09-19,588
first,2022-09-18,1460
third,2022-09-21,1382
forth,2022-09-18,1129
last,2022-09-24,123
last,2022-09-23,1521
last,2022-09-24,1999
last,2022-09-25,1833
second,2022-09-23,928
third,2022-09-26,640
last,2022-09-26,1771
second,2022-09-19,1482
third,2022-09-20,979
first,2022-09-21,224
last,2022-09-22,531
third,2022-09-24,1637
last,2022-09-26,1105
first,2022-09-21,142
forth,2022-09-19,774
last,2022-09-20,556
last,2022-09-20,788
first,2022-09-22,287
first,2022-09-19,1378
forth,2022-09-18,457
third,2022-09-22,1828
last,2022-09-24,1902
third,2022-09-22,376
third,2022-09-20,1166
third,2022-09-22,622
second,2022-09-24,1799
third,2022-09-19,343
forth,2022-09-27,1898
second,2022-09-20,1516
first,2022-09-18,1180
second,2022-09-26,949
last,2022-09-26,1511
forth,2022-09-19,1689
first,2022-09-25,1720
last,2022-09-18,1493
first,2022-09-27,1782
last,2022-09-18,1712
third,2022-09-19,1268
forth,2022-09-26,1644
first,2022-09-23,253
last,2022-09-26,1958
second,2022-09-20,946
third,2022-09-26,941
second,2022-09-26,992
last,2022-09-27,1338
third,2022-09-23,29
last,2022-09-21,1188
second,2022-09-22,956
first,2022-09-27,296
last,2022-09-22,87
second,2022-09-27,1424
first,2022-09-18,1087
third,2022-09-27,272
first,2022-09-23,1579
forth,2022-09-22,1519
last,2022-09-22,114
forth,2022-09-19,1942
second,2022-09-18,1537
second,2022-09-22,1946
first,2022-09-24,782
forth,2022-09-21,1883
second,2022-09-22,317
forth,2022-09-24,368
forth,2022-09-24,1374
second,2022-09-23,631
forth,2022-09-25,53
first,2022-09-19,162
last,2022-09-24,122
third,2022-09-24,817
third,2022-09-23,138
forth,2022-09-18,1292
first,2022-09-20,248
first,2022-09-22,895
forth,2022-09-22,452
third,2022-09-27,1764
first,2022-09-21,1049
third,2022-09-27,339
second,2022-09-25,558
second,2022-09-21,1463
third,2022-09-18,504
forth,2022-09-18,1902
last,2022-09-26,1493
last,2022-09-20,70
third,2022-09-18,1717
first,2022-09-26,1844
forth,2022-09-26,1435
second,2022-09-19,390
last,2022-09-27,1073
second,2022-09-23,10
second,2022-09-22,1978
forth,2022-09-20,72
first,2022-09-26,1924
first,2022-09-25,1351
forth,2022-09-20,583
third,2022-09-26,642
last,2022-09-26,507
first,2022-09-22,428
forth,2022-09-18,660
third,2022-09-22,1714
first,2022-09-21,1874
third,2022-09-22,627
first,2022-09-19,632
first,2022-09-21,1500
second,2022-09-26,1127
first,2022-09-23,1893
third,2022-09-27,1483
forth,2022-09-25,1825
forth,2022-09-21,910
first,2022-09-22,1619
third,2022-09-21,1830
first,2022-09-19,1699
first,2022-09-25,289
second,2022-09-18,1734
last,2022-09-19,691
third,2022-09-20,114
third,2022-09-22,644
second,2022-09-25,1630
first,2022-09-27,1212
first,2022-09-27,1956
last,2022-09-19,67
last,2022-09-21,867
last,2022-09-18,28
second,2022-09-25,1212
forth,2022-09-20,44
first,2022-09-19,1102
forth,2022-09-19,1817
forth,2022-09-21,1220
last,2022-09-27,864
forth,2022-09-26,1477
first,2022-09-19,649
second,2022-09-22,1583
first,2022-09-22,189
last,2022-09-20,1209
first,2022-09-19,374
third,2022-09-25,1576
second,2022-09-20,1015
forth,2022-09-24,585
forth,2022-09-21,901
last,2022-09-18,58
last,2022-09-20,1851
first,2022-09-19,1947
forth,2022-09-27,1480
third,2022-09-24,934
last,2022-09-23,165
first,2022-09-21,55
first,2022-09-19,1757
forth,2022-09-25,827
forth,2022-09-18,244
forth,2022-09-18,442
first,2022-09-22,1968
first,2022-09-26,559
forth,2022-09-24,1484
third,2022-09-26,682
forth,2022-09-23,280
forth,2022-09-23,785
second,2022-09-26,1878
first,2022-09-23,1688
last,2022-09-21,162
second,2022-09-22,1063
first,2022-09-18,1846
first,2022-09-20,915
second,2022-09-18,1395
last,2022-09-22,1159
first,2022-09-22,453
first,2022-09-24,1953
last,2022-09-23,1109
third,2022-09-19,1275
first,2022-09-21,1483
forth,2022-09-25,1032
third,2022-09-24,523
last,2022-09-22,472
first,2022-09-21,710
second,2022-09-27,597
last,2022-09-22,1532
last,2022-09-23,340
last,2022-09-23,157
first,2022-09-18,497
first,2022-09-25,1740
forth,2022-09-23,1426
forth,2022-09-24,1606
third,2022-09-23,1706
third,2022-09-20,404
third,2022-09-23,1473
third,2022-09-24,149
last,2022-09-21,958
second,2022-09-19,193
last,2022-09-25,347
second,2022-09-18,972
forth,2022-09-25,1500
third,2022-09-27,865
forth,2022-09-22,1949
last,2022-09-25,281
last,2022-09-26,1050
last,2022-09-26,1004
third,2022-09-18,1241
first,2022-09-21,1821
third,2022-09-27,636
forth,2022-09-19,25
last,2022-09-21,1170
third,2022-09-18,1942
second,2022-09-18,799
third,2022-09-20,100
last,2022-09-21,1926
last,2022-09-26,1628
forth,2022-09-27,250
third,2022-09-25,124
third,2022-09-25,785
second,2022-09-27,1771
third,2022-09-24,236
first,2022-09-26,742
second,2022-09-25,207
second,2022-09-21,784
third,2022-09-27,1184
second,2022-09-22,1052
last,2022-09-20,1847
third,2022-09-20,1803
last,2022-09-22,252
forth,2022-09-23,678
forth,2022-09-27,1954
first,2022-09-23,1601
third,2022-09-27,979
third,2022-09-20,1916
second,2022-09-23,186
second,2022-09-24,857
third,2022-09-25,1197
first,2022-09-23,1841
third,2022-09-26,91
second,2022-09-22,1461
last,2022-09-19,1036
second,2022-09-22,391
last,2022-09-19,1964
third,2022-09-23,530
last,2022-09-26,437
second,2022-09-18,687
last,2022-09-23,924
third,2022-09-27,393
first,2022-09-22,454
second,2022-09-24,1815
second,2022-09-18,866
third,2022-09-19,947
third,2022-09-27,456
forth,2022-09-23,1876
last,2022-09-19,457
first,2022-09-26,1417
forth,2022-09-26,84
second,2022-09-23,1787
last,2022-09-21,1665
last,2022-09-25,1085
last,2022-09-23,64
first,2022-09-19,213
last,2022-09-18,519
forth,2022-09-22,161
third,2022-09-27,1265
second,2022-09-19,570
forth,2022-09-24,940
third,2022-09-21,1114
second,2022-09-25,1292
second,2022-09-21,1757
third,2022-09-26,1877
third,2022-09-22,1319
forth,2022-09-23,708
forth,2022-09-19,627
first,2022-09-27,271
second,2022-09-20,707
first,2022-09-24,1058
first,2022-09-25,359
first,2022-09-22,779
forth,2022-09-22,651
second,2022-09-25,1515
second,2022-09-26,472
last,2022-09-24,1581
first,2022-09-18,971
third,2022-09-25,1682
forth,2022-09-26,1482
forth,2022-09-18,948
forth,2022-09-24,941
first,2022-09-27,600
third,2022-09-21,97
third,2022-09-18,532
first,2022-09-19,1954
third,2022-09-19,850
forth,2022-09-25,139
third,2022-09-25,539
last,2022-09-27,1759
forth,2022-09-23,1208
first,2022-09-20,824
first,2022-09-27,1155
third,2022-09-23,142
forth,2022-09-25,1770
forth,2022-09-18,1842
first,2022-09-23,1893
first,2022-09-24,1788
forth,2022-09-21,1267
second,2022-09-19,880
third,2022-09-20,1498
third,2022-09-21,1096
third,2022-09-18,1976
second,2022-09-24,954
second,2022-09-18,1803
last,2022-09-22,184
third,2022-09-20,682
second,2022-09-25,1981
second,2022-09-26,701
third,2022-09-25,1143
last,2022-09-20,1776
second,2022-09-25,1103
last,2022-09-19,302
forth,2022-09-26,230
last,2022-09-20,1074
forth,2022-09-25,69
first,2022-09-26,1567
third,2022-09-21,501
last,2022-09-26,1077
last,2022-09-23,1197
third,2022-09-21,1808
last,2022-09-21,1201
last,2022-09-18,1730
third,2022-09-26,269
last,2022-09-21,134
second,2022-09-23,1113
forth,2022-09-19,1062
last,2022-09-22,212
last,2022-09-24,76
last,2022-09-26,1963
forth,2022-09-22,167
first,2022-09-18,1426
third,2022-09-21,1266
first,2022-09-18,388
first,2022-09-26,1898
third,2022-09-25,1953
first,2022-09-21,769
first,2022-09-24,1018
forth,2022-09-24,117
third,2022-09-24,72
first,2022-09-20,1852
third,2022-09-27,1310
forth,2022-09-24,1456
second,2022-09-23,1808
forth,2022-09-23,1065
first,2022-09-22,275
forth,2022-09-18,283
first,2022-09-22,1913
second,2022-09-19,1234
third,2022-09-26,241
forth,2022-09-25,624
forth,2022-09-18,431
second,2022-09-22,65
first,2022-09-27,798
last,2022-09-22,1827
third,2022-09-22,881
first,2022-09-25,305
first,2022-09-18,510
third,2022-09-25,1196
forth,2022-09-23,457
forth,2022-09-19,609
first,2022-09-25,111
forth,2022-09-18,446
last,2022-09-18,807
third,2022-09-19,1542
last,2022-09-21,787
last,2022-09-23,1078
third,2022-09-27,1517
forth,2022-09-25,753
last,2022-09-22,1652
last,2022-09-25,5
second,2022-09-27,1013
first,2022-09-18,1237
first,2022-09-20,69
last,2022-09-24,1812
second,2022-09-27,76
last,2022-09-19,414
last,2022-09-21,600
third,2022-09-22,1897
forth,2022-09-24,682
third,2022-09-25,1616
forth,2022-09-23,496
last,2022-09-23,1318
first,2022-09-22,1745
last,2022-09-18,1166
forth,2022-09-27,327
last,2022-09-18,222
forth,2022-09-18,491
third,2022-09-23,1035
last,2022-09-20,1400
forth,2022-09-18,71
third,2022-09-24,1450
first,2022-09-20,1719
third,2022-09-18,970
third,2022-09-25,1201
last,2022-09-22,570
third,2022-09-27,1245
forth,2022-09-26,449
forth,2022-09-25,52
last,2022-09-18,485
last,2022-09-26,1365
first,2022-09-20,630
second,2022-09-23,639
first,2022-09-19,1482
third,2022-09-19,1030
second,2022-09-19,322
last,2022-09-20,587
forth,2022-09-19,831
second,2022-09-21,650
forth,2022-09-21,1737
forth,2022-09-22,1068
second,2022-09-20,1975
last,2022-09-26,1008
first,2022-09-27,241
second,2022-09-21,653
third,2022-09-27,585
first,2022-09-23,1272
third,2022-09-20,659
first,2022-09-25,433
second,2022-09-26,684
last,2022-09-25,1735
forth,2022-09-21,182
forth,2022-09-25,965
second,2022-09-25,1791
first,2022-09-27,1373
first,2022-09-24,755
second,2022-09-24,1954
forth,2022-09-26,181
last,2022-09-22,807
last,2022-09-22,1029
last,2022-09-20,1014
third,2022-09-26,1770
third,2022-09-26,500
first,2022-09-22,1357
forth,2022-09-25,42
forth,2022-09-21,105
third,2022-09-24,1113
third,2022-09-27,1231
first,2022-09-22,1162
first,2022-09-27,448
forth,2022-09-19,1867
second,2022-09-27,1818
second,2022-09-23,339
last,2022-09-18,243
third,2022-09-24,1658
third,2022-09-21,116
third,2022-09-19,934
forth,2022-09-23,1621
second,2022-09-21,1074
third,2022-09-23,1610
third,2022-09-21,323
last,2022-09-25,719
third,2022-09-25,1165
second,2022-09-27,568
forth,2022-09-27,1241
third,2022-09-21,729
second,2022-09-22,454
third,2022-09-24,1207
last,2022-09-27,757
forth,2022-09-24,651
forth,2022-09-22,943
last,2022-09-22,909
last,2022-09-22,1975
forth,2022-09-21,1375
forth,2022-09-26,506
last,2022-09-21,1415
third,2022-09-24,1458
first,2022-09-26,1387
first,2022-09-21,1703
forth,2022-09-27,725
last,2022-09-25,25
third,2022-09-18,715
third,2022-09-23,1783
first,2022-09-26,650
third,2022-09-24,571
last,2022-09-24,1225
forth,2022-09-19,1426
first,2022-09-26,1357
last,2022-09-18,1747
first,2022-09-20,1492
last,2022-09-26,276
forth,2022-09-21,1894
third,2022-09-21,1765
forth,2022-09-19,915
first,2022-09-26,1522
last,2022-09-25,1505
forth,2022-09-27,109
last,2022-09-21,1995
third,2022-09-27,1107
forth,2022-09-26,1327
third,2022-09-21,1911
first,2022-09-25,1862
second,2022-09-26,1604
forth,2022-09-20,1035
first,2022-09-19,205
second,2022-09-18,246
second,2022-09-23,1878
first,2022-09-24,1539
forth,2022-09-22,139
first,2022-09-21,1894
last,2022-09-20,2
forth,2022-09-21,171
forth,2022-09-21,1034
forth,2022-09-20,63
last,2022-09-21,1692
first,2022-09-20,1504
first,2022-09-19,1650
second,2022-09-25,1380
third,2022-09-22,901
last,2022-09-27,215
third,2022-09-23,1601
forth,2022-09-27,716
second,2022-09-25,358
third,2022-09-20,1778
first,2022-09-20,1362
first,2022-09-18,574
forth,2022-09-21,214
second,2022-09-21,1410
forth,2022-09-26,315
forth,2022-09-27,1447
third,2022-09-20,1979
forth,2022-09-19,183
first,2022-09-24,756
last,2022-09-24,360
first,2022-09-19,1877
forth,2022-09-24,239
first,2022-09-25,2000
forth,2022-09-27,1657
last,2022-09-19,1023
last,2022-09-21,597
forth,2022-09-21,24
first,2022-09-21,738
third,2022-09-27,1578
last,2022-09-24,873
first,2022-09-26,1100
forth,2022-09-21,1129
third,2022-09-19,1352
last,2022-09-21,64
second,2022-09-27,1371
last,2022-09-27,294
third,2022-09-23,1752
last,2022-09-23,803
last,2022-09-22,844
third,2022-09-24,190
last,2022-09-18,1032
first,2022-09-20,1611
third,2022-09-21,963
last,2022-09-19,551
last,2022-09-26,86
second,2022-09-20,60
forth,2022-09-26,153
second,2022-09-23,1363
third,2022-09-26,1772
last,2022-09-25,1588
first,2022-09-22,537
last,2022-09-23,530
second,2022-09-23,1933
second,2022-09-23,1525
first,2022-09-21,1465
forth,2022-09-24,246
first,2022-09-19,1010
first,2022-09-24,1037
first,2022-09-24,1083
last,2022-09-23,1081
forth,2022-09-25,866
first,2022-09-21,19
first,2022-09-18,789
forth,2022-09-23,1025
third,2022-09-19,954
last,2022-09-24,438
forth,2022-09-20,1383
third,2022-09-18,1038
last,2022-09-25,130
forth,2022-09-22,41
last,2022-09-23,1295
first,2022-09-24,1913
second,2022-09-22,164
first,2022-09-26,1240
second,2022-09-25,523
forth,2022-09-25,1947
third,2022-09-18,755
last,2022-09-20,517
first,2022-09-24,1800
last,2022-09-27,1530
third,2022-09-27,645
first,2022-09-18,1802
third,2022-09-19,670
third,2022-09-25,585
forth,2022-09-22,534
last,2022-09-24,1396
third,2022-09-26,1520
last,2022-09-23,1923
first,2022-09-21,534
last,2022-09-25,599
second,2022-09-21,1616
last,2022-09-26,1496
last,2022-09-20,1208
second,2022-09-19,1562
last,2022-09-22,1419
third,2022-09-25,926
forth,2022-09-21,368
first,2022-09-25,1207
second,2022-09-23,1816
third,2022-09-23,1814
second,2022-09-27,1856
last,2022-09-26,1232
second,2022-09-27,35
second,2022-09-22,1991
forth,2022-09-18,355
first,2022-09-25,1811
forth,2022-09-21,807
first,2022-09-24,321
forth,2022-09-26,863
second,2022-09-20,779
third,2022-09-25,1843
last,2022-09-27,2000
third,2022-09-27,274
first,2022-09-21,1709
last,2022-09-23,1648
forth,2022-09-27,936
second,2022-09-22,1673
first,2022-09-19,1124
last,2022-09-21,1500
forth,2022-09-26,737
forth,2022-09-18,1866
last,2022-09-19,1482
forth,2022-09-18,309
last,2022-09-19,1797
first,2022-09-18,1031
forth,2022-09-22,122
forth,2022-09-22,1982
second,2022-09-26,77
forth,2022-09-20,649
forth,2022-09-25,1184
second,2022-09-25,1164
last,2022-09-18,1699
first,2022-09-21,596
second,2022-09-24,1664
third,2022-09-19,1639
first,2022-09-22,934
second,2022-09-22,1686
forth,2022-09-25,1136
first,2022-09-20,328
last,2022-09-20,1315
second,2022-09-23,1631
last,2022-09-23,980
forth,2022-09-27,1317
third,2022-09-22,398
last,2022-09-23,1694
forth,2022-09-24,1418
first,2022-09-26,1859
second,2022-09-25,841
forth,2022-09-25,432
second,2022-09-24,526
third,2022-09-23,99
third,2022-09-23,890
second,2022-09-23,751
forth,2022-09-21,23
forth,2022-09-23,1971
last,2022-09-19,679
first,2022-09-20,702
first,2022-09-24,898
forth,2022-09-18,174
forth,2022-09-26,1370
forth,2022-09-24,1107
last,2022-09-21,141
last,2022-09-27,1709
first,2022-09-19,1647
second,2022-09-27,1705
forth,2022-09-25,1416
second,2022-09-27,538
second,2022-09-19,224
second,2022-09-25,1166
first,2022-09-19,970
third,2022-09-24,1971
first,2022-09-27,420
first,2022-09-18,546
forth,2022-09-27,544
forth,2022-09-26,826
second,2022-09-26,976
first,2022-09-27,300
third,2022-09-23,632
last,2022-09-20,280
third,2022-09-27,1776
second,2022-09-22,763
third,2022-09-20,500
last,2022-09-26,1770
third,2022-09-27,1526
last,2022-09-27,663
forth,2022-09-22,1094
first,2022-09-25,558
third,2022-09-18,289
third,2022-09-21,167
second,2022-09-23,200
second,2022-09-25,1456
first,2022-09-25,34
third,2022-09-23,411
forth,2022-09-20,218
forth,2022-09-25,1287
third,2022-09-25,1109
forth,2022-09-20,95
first,2022-09-26,215
forth,2022-09-18,1600
second,2022-09-23,659
first,2022-09-26,1967
third,2022-09-20,823
last,2022-09-19,1412
second,2022-09-26,461
second,2022-09-26,1801
first,2022-09-27,688
first,2022-09-18,1317
forth,2022-09-18,1517
second,2022-09-20,828
forth,2022-09-20,255
third,2022-09-21,116
second,2022-09-21,782
first,2022-09-22,719
last,2022-09-26,340
first,2022-09-21,1963
second,2022-09-20,131
forth,2022-09-18,1782
third,2022-09-22,743
last,2022-09-26,16
forth,2022-09-20,285
first,2022-09-24,1413
forth,2022-09-26,236
last,2022-09-23,202
second,2022-09-18,356
third,2022-09-21,1584
third,2022-09-22,1352
last,2022-09-19,25
forth,2022-09-23,345
third,2022-09-26,765
third,2022-09-21,743
forth,2022-09-22,1223
first,2022-09-21,1227
forth,2022-09-18,462
first,2022-09-21,55
first,2022-09-22,1265
forth,2022-09-22,1110
third,2022-09-26,1366
third,2022-09-25,715
first,2022-09-27,378
first,2022-09-19,1627
last,2022-09-26,1387
first,2022-09-26,1990
last,2022-09-24,312
first,2022-09-21,1553
second,2022-09-18,1188
third,2022-09-24,1191
second,2022-09-18,1877
first,2022-09-23,1949
second,2022-09-27,1104
forth,2022-09-18,1763
first,2022-09-24,1098
second,2022-09-21,1732
first,2022-09-26,1328
forth,2022-09-19,1997
third,2022-09-20,1848
last,2022-09-18,1950
second,2022-09-25,1989
forth,2022-09-18,493
forth,2022-09-25,777
third,2022-09-22,1942
forth,2022-09-18,459
forth,2022-09-26,1177
forth,2022-09-20,1702
third,2022-09-19,1585
third,2022-09-27,952
forth,2022-09-22,188
last,2022-09-25,1491
last,2022-09-22,92
